gene_combination_unordered,TTN,LN_mean_relative,LN_mean_relative_bootstrap_median,LN_mean_relative_bootstrap_mean,LN_mean_relative_97.5P,LN_mean_relative_2.5P,LN_mean_relative_pvalue_twoside,LN_mean_relative_pvalue_twoside_FDR,95_percentile_relative,95_percentile_relative_bootstrap_median,95_percentile_relative_bootstrap_mean,95_percentile_relative_97.5P,95_percentile_relative_2.5P,95_percentile_relative_pvalue_twoside,95_percentile_relative_pvalue_twoside_FDR,TTN_normalized_relative,TTN_normalized_relative_bootstrap_median,TTN_normalized_relative_bootstrap_mean,TTN_normalized_relative_97.5P,TTN_normalized_relative_2.5P,TTN_normalized_relative_pvalue_twoside,TTN_normalized_relative_pvalue_twoside_FDR,Genotype
Ccnl1_Ccnl2_Inert_Inert,926.0,1.0075195110593995,1.0009582866614588,1.0037681419254676,1.097187347913008,0.9223247059069276,0.97,0.998,1.01570397957188,1.0072037504120193,1.0162186333464382,1.2333343409915356,0.8287815085133288,0.952,0.992,1.0,0.9946714977510724,0.999588814783032,1.1541327621870785,0.8527232447141317,0.938,1.0,KT
Ccnl1_Inert_Inert_Inert,420.0,0.9999541932239352,1.0001835433251731,1.008136181407799,1.1749860533051184,0.8646349086976447,0.998,0.998,1.022993905570778,1.0,1.0151611915976777,1.6143946845519983,0.6612829041766868,0.976,0.992,1.0,0.9998007913398496,1.0075648072929615,1.2346152811059987,0.8149749973215165,0.996,1.0,KT
Ccnl2_Inert_Inert_Inert,574.0,1.049897217516849,1.0474624992996748,1.0594571686643102,1.2527298953137236,0.9184503801543656,0.4519999999999999,0.998,1.1080407049875056,1.121300900334438,1.1276761911389583,1.4927016609826045,0.8749705402465555,0.318,0.992,1.0,1.0072308138636932,1.006367115611151,1.149008331005981,0.8758718568386216,0.916,1.0,KT
Cpt1a_Cpt2_Inert_Inert,172.0,1.011794093183075,1.0037469015586924,1.00673742258836,1.2075097651701023,0.8286213119403073,0.972,0.998,0.9146789925873686,0.8954555585824985,0.9290436114481482,1.4035182774826294,0.6328571997607948,0.55,0.992,1.0,0.9976558823366344,1.0033442522867084,1.2517438452887453,0.803638498136478,0.98,1.0,KT
Cpt2_Glut1_Inert_Inert,212.0,0.9575583248142082,0.9477386542855992,0.9534088297674608,1.1543237615489528,0.7930048524414558,0.562,0.998,0.9440072280726884,0.9244446324093272,0.9298204505627768,1.1700148777156183,0.6722666661973735,0.488,0.992,1.0,1.0005282467828638,1.01529783849088,1.3841647373592894,0.7488731118230143,0.998,1.0,KT
Cpt2_Gpat3_Inert_Inert,201.0,1.0496292425635243,1.041128495566828,1.052513753983265,1.2958861667043864,0.8602836336806525,0.69,0.998,0.9846179087256148,0.9682156395180206,1.0200593462914558,1.53345193240183,0.7240605230246664,0.884,0.992,1.0,1.0031897324943002,1.0099134204218725,1.263897443500708,0.8165179130241477,0.986,1.0,KT
Cpt2_Idh3a_Inert_Inert,210.0,1.1791738352013714,1.1800768177233831,1.1891852476676403,1.469195834655182,0.9764322546251968,0.07,0.998,1.1480119837512697,1.1694915254237288,1.2004928211913652,1.7047522325337066,0.8647710210210211,0.282,0.992,1.0,1.002330270903105,1.0080002300047874,1.250479343091221,0.7914475553797038,0.988,1.0,KT
Cpt2_Inert_Inert_Inert,145.0,1.0922291246469902,1.058263633247189,1.10205374719861,1.5787459830901254,0.8396360534188381,0.69,0.998,1.0037545209886802,1.0,1.1041098214213627,2.612386354475207,0.6068407333621779,0.986,0.992,1.0,0.9914441096665472,1.007604643822821,1.3406428791410907,0.7528585179031875,0.964,1.0,KT
Cpt2_Inert_Inert_Pgk1,150.0,1.0083509407472822,0.9993141085810192,1.01104372776543,1.3722168655996536,0.7477782035409392,0.998,0.998,0.9992469922888698,0.9593619160185972,1.0988748078889694,2.2349410475342744,0.4827586206896552,0.868,0.992,1.0,1.0148039237698017,1.0329498297323108,1.4865147485338552,0.6868687924942924,0.944,1.0,KT
Cpt2_Inert_Inert_Sdha,164.0,1.0409768544731317,1.0316888327558524,1.0625358039739958,1.4818269341702863,0.8511063767863845,0.8260000000000001,0.998,0.9313891527323516,0.919669117647058,0.9631921639388232,1.6874365130466282,0.5693709643399935,0.554,0.992,1.0,1.002478319622139,1.0112011197667183,1.2973925674243183,0.7737792870880206,0.986,1.0,KT
G3bp1_G3bp1_G3bp2_G3bp2,37.0,1.0052985479058687,0.9798310990722068,1.0251311098518028,1.5622183416867863,0.7173065813414906,0.922,0.998,0.9011811978957848,0.841384328328554,1.0067872695173077,2.545243583832796,0.3744131220654978,0.614,0.992,1.0,0.9901879030395012,1.0570521381659466,1.8303014425369215,0.5441234680006747,0.97,1.0,KT
G3bp1_G3bp1_G3bp2_Inert,100.0,1.1814851346224546,1.1900962302287177,1.2036888426719912,1.5429843366321738,0.9599502941248306,0.1519999999999999,0.998,1.2313494113543146,1.2134439385918727,1.2683127127485831,2.1132365926655257,0.7510715965948651,0.31,0.992,1.0,1.008090071814844,1.0226107969841662,1.4299601305229026,0.7133606851130903,0.968,1.0,KT
G3bp1_G3bp2_G3bp2_Inert,80.0,0.9297273003211626,0.9061554394997292,0.9349068478772796,1.2660390367657095,0.7302944911384361,0.558,0.998,0.7187410305267521,0.7030892569630599,0.841057269481745,2.0,0.4836507417661897,0.29,0.992,1.0,1.0178386616300208,1.036666202755859,1.5776848535261845,0.632632698813878,0.954,1.0,KT
G3bp1_G3bp2_Inert_Inert,605.0,0.9600416392896536,0.9567484204605444,0.9559416919790432,1.0662983004204394,0.839024667636016,0.466,0.998,0.9832309219782864,0.9581600961632402,0.9522742061761604,1.1838600902900478,0.7220842930182761,0.704,0.992,1.0,1.0023979855425451,1.0039734120831707,1.1788832063008985,0.850356868969472,0.98,1.0,KT
G3bp1_Inert_Inert_Inert,429.0,1.0348581214804522,1.0269156208399648,1.0436989669669128,1.2860302593370427,0.8776757251482195,0.77,0.998,0.9917314394367184,0.9841141141141132,1.0474591687929018,1.8148395308105632,0.7373005261923911,0.906,0.992,1.0,1.003032662096127,1.00783250766471,1.191507341686504,0.8418829655624644,0.982,1.0,KT
G3bp2_Inert_Inert_Inert,539.0,1.0381591462683788,1.040018181756972,1.04299647189672,1.1604872413114258,0.940691610280132,0.4439999999999999,0.998,0.9983729184045316,1.0202026429209334,1.0595718224313482,1.541818035253654,0.8260223541166414,0.8759999999999999,0.992,1.0,1.0052691628684682,1.0028577397139042,1.1327957182060129,0.8708459884359183,0.942,1.0,KT
Gsk3a_Gsk3a_Gsk3b_Gsk3b,84.0,0.8717158151990761,0.8726556227817905,0.8760119971337019,1.1151033943854585,0.6962814917165212,0.224,0.998,0.9634446612933836,0.924167012934736,0.8806096377540037,1.160304054054054,0.4076994355170729,0.462,0.992,1.0,0.9992338988535212,1.018415682991895,1.4636798131178408,0.6709384533655369,0.998,1.0,KT
Gsk3a_Gsk3a_Gsk3b_Inert,228.0,1.0585816383863709,1.0415872224323677,1.0486633991773353,1.3164248098759417,0.8124443992332726,0.736,0.998,1.086754739256068,1.056990715203661,1.0481445790383404,1.4923931093741123,0.6498611111111111,0.732,0.992,1.0,1.0041766539518964,1.008235283226995,1.245566111105599,0.8108516226908995,0.972,1.0,KT
